network,method,M,T,stage1_runtime_seconds,stage1_selected_depots,WMRD,stage2_fixed_depots,stage2_runtime_seconds,system_reliability,technician_allocation,total_runtime_seconds
9_lines_245_stations,heuristic,3,20,0.021,"[13,21,43]",148.1,"[13,21,43]",0.14,0.013647474,"[8,8,4]",0.161
9_lines_245_stations,heuristic,3,30,0.021,"[13,21,43]",148.1,"[13,21,43]",0.17,0.326994908,"[11,13,6]",0.191
9_lines_245_stations,heuristic,3,40,0.0216,"[13,21,43]",148.1,"[13,21,43]",0.2001,0.846151613,"[15,16,9]",0.2217
9_lines_245_stations,heuristic,3,50,0.0212,"[13,21,43]",148.1,"[13,21,43]",0.2294,0.987122462,"[19,20,11]",0.2506
9_lines_245_stations,heuristic,3,60,0.0214,"[13,21,43]",148.1,"[13,21,43]",0.2587,0.999579025,"[22,24,14]",0.2801
9_lines_245_stations,heuristic,3,70,0.021,"[13,21,43]",148.1,"[13,21,43]",0.2888,0.999992015,"[26,27,17]",0.3098
9_lines_245_stations,heuristic,4,10,0.023,"[21,43,76,134]",137.48,"[13,21,43,221]",0.091,3.30E-06,"[3,4,2,1]",0.114
9_lines_245_stations,heuristic,4,20,0.023,"[21,43,76,134]",137.48,"[13,21,43,221]",0.131,0.009218,"[7,8,4,1]",0.154
9_lines_245_stations,heuristic,4,30,0.024,"[21,43,76,134]",137.48,"[13,21,43,221]",0.173,0.255577,"[10,12,6,2]",0.197
9_lines_245_stations,heuristic,4,40,0.024,"[21,43,76,134]",137.48,"[13,21,43,221]",0.213,0.766086,"[13,16,8,3]",0.237
9_lines_245_stations,heuristic,4,50,0.023,"[21,43,76,134]",137.48,"[13,21,43,221]",0.256,0.970194,"[16,19,11,4]",0.279
9_lines_245_stations,heuristic,4,60,0.023,"[21,43,76,134]",137.48,"[13,21,43,221]",0.295,0.998033,"[19,22,13,6]",0.318
9_lines_245_stations,heuristic,4,70,0.023,"[21,43,76,134]",137.48,"[13,21,43,221]",0.338,0.999929,"[22,26,15,7]",0.361
9_lines_245_stations,heuristic,5,10,0.0379,"[13,21,31,43,221]",124.07,"[13,21,31,43,221]",0.0968,1.83E-06,"[3,3,1,2,1]",0.1347
9_lines_245_stations,heuristic,5,20,0.0375,"[13,21,31,43,221]",124.07,"[13,21,31,43,221]",0.1492,0.005515571,"[6,7,2,4,1]",0.1867
9_lines_245_stations,heuristic,5,30,0.0376,"[13,21,31,43,221]",124.07,"[13,21,31,43,221]",0.2039,0.183626592,"[10,10,2,6,2]",0.2415
9_lines_245_stations,heuristic,5,40,0.042,"[13,21,31,43,221]",124.07,"[13,21,31,43,221]",0.257,0.673112531,"[12,13,4,8,3]",0.299
9_lines_245_stations,heuristic,5,50,0.038,"[13,21,31,43,221]",124.07,"[13,21,31,43,221]",0.31,0.941843503,"[15,16,5,10,4]",0.348
9_lines_245_stations,heuristic,5,60,0.037,"[13,21,31,43,221]",124.07,"[13,21,31,43,221]",0.367,0.994187879,"[18,19,6,12,5]",0.404
9_lines_245_stations,heuristic,5,70,0.037,"[13,21,31,43,221]",124.07,"[13,21,31,43,221]",0.418,0.999599075,"[20,22,7,14,7]",0.455
9_lines_245_stations,heuristic,6,10,0.0417,"[13,21,31,43,145,221]",115.05,"[13,21,31,43,145,221]",0.0871,9.74E-07,"[3,2,1,2,1,1]",0.1288
9_lines_245_stations,heuristic,6,20,0.0405,"[13,21,31,43,145,221]",115.05,"[13,21,31,43,145,221]",0.1523,0.003298108,"[6,6,1,4,2,1]",0.1928
9_lines_245_stations,heuristic,6,30,0.0414,"[13,21,31,43,145,221]",115.05,"[13,21,31,43,145,221]",0.2213,0.131952068,"[9,8,2,6,3,2]",0.2627
9_lines_245_stations,heuristic,6,40,0.0414,"[13,21,31,43,145,221]",115.05,"[13,21,31,43,145,221]",0.2877,0.568916879,"[12,10,3,8,4,3]",0.3291
9_lines_245_stations,heuristic,6,50,0.0405,"[13,21,31,43,145,221]",115.05,"[13,21,31,43,145,221]",0.3533,0.891209234,"[14,13,4,10,5,4]",0.3938
9_lines_245_stations,heuristic,6,60,0.0406,"[13,21,31,43,145,221]",115.05,"[13,21,31,43,145,221]",0.4202,0.983773239,"[17,15,5,11,7,5]",0.4608
9_lines_245_stations,heuristic,6,70,0.0408,"[13,21,31,43,145,221]",115.05,"[13,21,31,43,145,221]",0.4866,0.998462506,"[19,17,7,13,8,6]",0.5274
9_lines_245_stations,heuristic,7,10,0.0444,"[13,21,31,43,134,145,221]",107.33,"[13,21,31,43,134,145,221]",0.0691,5.56E-07,"[2,2,1,2,1,1,1]",0.1135
9_lines_245_stations,heuristic,7,20,0.0449,"[13,21,31,43,134,145,221]",107.33,"[13,21,31,43,134,145,221]",0.1481,0.001927285,"[5,5,1,4,2,2,1]",0.193
9_lines_245_stations,heuristic,7,30,0.0452,"[13,21,31,43,134,145,221]",107.33,"[13,21,31,43,134,145,221]",0.2279,0.088471872,"[7,8,2,5,3,3,2]",0.2731
9_lines_245_stations,heuristic,7,40,0.045,"[13,21,31,43,134,145,221]",107.33,"[13,21,31,43,134,145,221]",0.3084,0.465326641,"[9,10,3,7,4,4,3]",0.3534
9_lines_245_stations,heuristic,7,50,0.0492,"[13,21,31,43,134,145,221]",107.33,"[13,21,31,43,134,145,221]",0.4392,0.828286065,"[11,12,4,9,6,5,3]",0.4884
9_lines_245_stations,heuristic,7,60,0.0449,"[13,21,31,43,134,145,221]",107.33,"[13,21,31,43,134,145,221]",0.4697,0.965832597,"[12,14,5,11,7,6,5]",0.5146
9_lines_245_stations,heuristic,7,70,0.0446,"[13,21,31,43,134,145,221]",107.33,"[13,21,31,43,134,145,221]",0.5504,0.994976113,"[14,16,6,13,8,7,6]",0.595
9_lines_245_stations,heuristic,8,10,0.0488,"[16,21,31,43,75,134,145,221]",99.86,"[13,21,31,43,134,145,156,221]",0.0578,3.16E-07,"[2,2,1,1,1,1,1,1]",0.1066
9_lines_245_stations,heuristic,8,20,0.0491,"[16,21,31,43,75,134,145,221]",99.86,"[13,21,31,43,134,145,156,221]",0.1511,0.00133,"[4,5,1,4,2,2,1,1]",0.2002
9_lines_245_stations,heuristic,8,30,0.049,"[16,21,31,43,75,134,145,221]",99.86,"[13,21,31,43,134,145,156,221]",0.2503,0.068910572,"[7,7,2,5,3,3,1,2]",0.2993
9_lines_245_stations,heuristic,8,40,0.0488,"[16,21,31,43,75,134,145,221]",99.86,"[13,21,31,43,134,145,156,221]",0.3417,0.400511,"[8,9,3,7,4,4,2,3]",0.3905
9_lines_245_stations,heuristic,8,50,0.0495,"[16,21,31,43,75,134,145,221]",99.86,"[13,21,31,43,134,145,156,221]",0.4378,0.776242,"[10,11,4,9,5,5,3,3]",0.4873
9_lines_245_stations,heuristic,8,60,0.0475,"[16,21,31,43,75,134,145,221]",99.86,"[13,21,31,43,134,145,156,221]",0.5298,0.948248,"[12,13,5,10,7,6,3,4]",0.5773
9_lines_245_stations,heuristic,8,70,0.0482,"[16,21,31,43,75,134,145,221]",99.86,"[13,21,31,43,134,145,156,221]",0.6269,0.991249,"[14,14,6,12,8,7,4,5]",0.6751
9_lines_245_stations,heuristic,9,10,0.0532,"[16,21,31,43,75,134,145,156,221]",92.28,"[16,21,31,43,75,134,145,156,221]",0.0469,1.48E-07,"[1,2,1,1,1,1,1,1,1]",0.1001
9_lines_245_stations,heuristic,9,20,0.0529,"[16,21,31,43,75,134,145,156,221]",92.28,"[16,21,31,43,75,134,145,156,221]",0.1569,0.000787232,"[3,4,1,3,3,2,2,1,1]",0.2098
9_lines_245_stations,heuristic,9,30,0.0529,"[16,21,31,43,75,134,145,156,221]",92.28,"[16,21,31,43,75,134,145,156,221]",0.2675,0.046994331,"[4,6,2,5,4,3,3,1,2]",0.3204
9_lines_245_stations,heuristic,9,40,0.0531,"[16,21,31,43,75,134,145,156,221]",92.28,"[16,21,31,43,75,134,145,156,221]",0.3795,0.322834453,"[5,8,3,6,6,4,4,2,2]",0.4326
9_lines_245_stations,heuristic,9,50,0.0529,"[16,21,31,43,75,134,145,156,221]",92.28,"[16,21,31,43,75,134,145,156,221]",0.4883,0.701463277,"[6,10,4,8,7,5,5,2,3]",0.5412
9_lines_245_stations,heuristic,9,60,0.0528,"[16,21,31,43,75,134,145,156,221]",92.28,"[16,21,31,43,75,134,145,156,221]",0.5986,0.912391878,"[7,11,5,9,8,7,6,3,4]",0.6514
9_lines_245_stations,heuristic,9,70,0.0584,"[16,21,31,43,75,134,145,156,221]",92.28,"[16,21,31,43,75,134,145,156,221]",0.8032,0.979659459,"[8,13,5,10,10,8,7,4,5]",0.8616
9_lines_245_stations,heuristic,10,10,0.0584,"[16,21,31,43,52,75,134,145,156,221]",85.53,"[16,21,31,43,52,75,134,145,156,221]",0.0341,6.29E-08,"[1,1,1,1,1,1,1,1,1,1]",0.0925
9_lines_245_stations,heuristic,10,20,0.0577,"[16,21,31,43,52,75,134,145,156,221]",85.53,"[16,21,31,43,52,75,134,145,156,221]",0.1688,0.000527454,"[3,4,1,2,1,3,2,2,1,1]",0.2265
9_lines_245_stations,heuristic,10,30,0.0575,"[16,21,31,43,52,75,134,145,156,221]",85.53,"[16,21,31,43,52,75,134,145,156,221]",0.3031,0.035173013,"[4,6,2,4,1,4,3,3,1,2]",0.3606
9_lines_245_stations,heuristic,10,40,0.0573,"[16,21,31,43,52,75,134,145,156,221]",85.53,"[16,21,31,43,52,75,134,145,156,221]",0.4321,0.27280918,"[5,8,3,5,2,6,4,3,2,2]",0.4894
9_lines_245_stations,heuristic,10,50,0.0575,"[16,21,31,43,52,75,134,145,156,221]",85.53,"[16,21,31,43,52,75,134,145,156,221]",0.5696,0.642835636,"[6,9,4,6,3,7,5,5,2,3]",0.6271
9_lines_245_stations,heuristic,10,60,0.0577,"[16,21,31,43,52,75,134,145,156,221]",85.53,"[16,21,31,43,52,75,134,145,156,221]",0.7012,0.880122715,"[7,11,5,8,3,8,6,5,3,4]",0.7589
9_lines_245_stations,heuristic,10,70,0.059,"[16,21,31,43,52,75,134,145,156,221]",85.53,"[16,21,31,43,52,75,134,145,156,221]",0.8351,0.969466555,"[8,12,5,9,4,10,8,6,4,4]",0.8941
